부처,  2024년_과제수  ,  2024년_사업수  ,  2024년_연구기관수  ,  2023년_과제수  ,  2023년_사업수  ,  2023년_연구기관수  ,  2022년_과제수  ,  2022년_사업수  ,  2022년_연구기관수  ,  2021년_과제수  ,  2021년_사업수  ,  2021년_연구기관수  ,  2020년_과제수  ,  2020년_사업수  ,  2020년_연구기관수  
산업통상자원부,6935,642,8725,6466,677,8856,6539,702,9132,6435,706,8879,5996,706,8208
환경부,364,64,448,483,73,529,605,84,565,657,71,461,631,49,432
해양수산부,279,163,603,350,177,693,360,175,725,325,117,662,534,42,544
중소벤처기업부,10850,100,10976,10718,120,10719,10943,119,11290,10291,87,11203,7669,57,8436
기타,271,29,256,245,21,215,333,17,208,50,7,101,17,1,37
국방부,713,59,920,732,49,905,566,38,831,293,22,461,184,17,305
농촌진흥청,1343,65,573,1975,84,772,2408,100,785,2083,89,612,2104,34,601
