연도,전담기관,공고명,공고일,상태
2023,한국에너지기술평가원,"2023년도 제2차 에너지기술개발사업(태양광, 풍력, RE100) 신규지원대상 연구개발과제 공고",2023-06-30 ~ 2023-07-31,접수마감
2023,한국에너지공단,2023년도 3차 전력정보화 및 정책지원사업(신재생에너지 분야) 신규지원 대상과제 공고,2023-07-21 ~ 2023-08-21,접수마감
2023,한국에너지기술평가원,2023년 에너지국제공동연구사업 신규지원 대상과제 공고,2023-08-03 ~ 2023-10-02,접수마감
2023,한국에너지기술평가원,2023년도 포항 지열발전부지 안전관리사업 신규지원 대상과제 재공고,2023-08-10 ~ 2023-08-24,접수마감
2023,한국에너지기술평가원,2023년도 대규모 CO2 저장소 확보를 위한 기반조성사업 신규지원 대상과제 공고,2023-08-23 ~ 2023-09-22,접수마감
2023,한국에너지기술평가원,2023년도 3차 에너지인력양성사업 신규지원대상 연구개발과제 공고,2023-08-29 ~ 2023-10-13,접수마감
2023,한국에너지기술평가원,2023년도 제2차 에너지기술개발사업(태양광) 신규지원대상 연구개발과제 재공고,2023-09-11 ~ 2023-10-11,접수마감
2023,한국에너지기술평가원,2023년도 전력정보화 및 정책지원(전력기술기반구축) 신규지원 대상 연구개발과제 공고,2023-09-14 ~ 2023-10-16,접수마감
2023,한국에너지기술평가원,2023년 한-태 에너지국제공동연구사업 신규지원 대상과제 접수마감일 변경 안내,2023-09-20 ~ 2023-10-04,접수마감
2023,한국에너지기술평가원,수소터빈 시험연구센터 구축사업 보조사업자 모집 공고,2023-09-20 ~ 2023-10-20,접수마감
2023,한국에너지기술평가원,2023년도 하반기 공공에너지 선도투자 및 신산업 창출 지원사업 신규지원 대상 연구개발과제 공고,2023-10-11 ~ 2023-11-09,접수마감
2023,한국에너지기술평가원,2023년도 대규모 CO2 저장소 확보를 위한 기반조성사업 신규지원 대상과제 재공고,2023-10-20 ~ 2023-11-06,접수마감
2023,한국에너지기술평가원,에너지특화기업 지정 신청 공고,2023-10-20 ~ 2023-11-17,접수마감
2023,한국에너지기술평가원,2023년도 산업기술R&D 연구기획사업(에너지기술분야) 신규지원 대상 연구개발과제 공고,2023-10-26 ~ 2023-11-24,접수마감
2023,한국에너지기술평가원,2023년도 하반기 재생에너지 디지털트윈 및 친환경교통 실증연구 기반구축 사업 신규지원대상 연구개발과제 공고,2023-11-06 ~ 2023-12-05,접수마감
2023,한국에너지공단,2023년도 4차「전력정보화 및 정책지원사업(신재생에너지 분야)」신규지원 대상과제 공고,2023-11-14 ~ 2023-11-28,접수마감
2023,한국에너지기술평가원,2024년 한-중 에너지국제공동연구사업 신규지원 대상과제 공고,2023-11-15 ~ 2024-01-04,접수마감
2024,한국에너지기술평가원,2024년도 제1차 에너지기술개발사업 신규지원대상 연구개발과제 공고,2024-01-15 ~ 2024-02-21,접수마감
2024,한국에너지기술평가원,2024년도 에너지기술정책수립사업 신규지원대상 연구개발과제 공고,2024-01-22 ~ 2024-02-21,접수마감
2024,한국에너지기술평가원,2024년 에너지국제공동연구사업 신규지원 대상과제 공고,2024-02-26 ~ 2024-04-30,접수마감
2024,한국에너지기술평가원,「2024년도 한-영국 국제공동기술개발사업」 신규지원 대상과제 공고,2024-02-26 ~ 2024-05-22,접수마감
2024,한국에너지기술평가원,"2024년도 제1차 에너지기술개발사업 신규지원대상 연구개발과제(지정, 품목) 재공고",2024-02-29 ~ 2024-03-25,접수마감
2024,한국에너지기술평가원,2024년도 원전해체경쟁력강화기술개발사업 신규지원 대상 연구개발과제 공고,2024-02-29 ~ 2024-03-29,접수마감
2024,한국에너지기술평가원,2024년도 소형모듈원전(SMR) 제작지원센터 구축사업 신규지원 대상 과제 공고,2024-03-04 ~ 2024-04-02,접수마감
2024,한국에너지공단,2024년도 1차 전력정보화 및 정책지원사업(신재생에너지 분야) 신규지원 대상과제 공고,2024-03-13 ~ 2024-03-27,접수마감
2024,한국에너지기술평가원,2024년도 폐갱도를 활용한 이산화탄소 육상저장 시범사업 신규지원 대상과제 공고,2024-04-24 ~ 2024-05-23,접수마감
2024,한국에너지기술평가원,2024년도 제2차 에너지수요관리핵심기술개발사업 신규지원대상 연구개발과제 공고,2024-04-30 ~ 2024-05-30,접수마감
2024,한국에너지기술평가원,2024년 한-체코 에너지국제공동연구사업 신규지원 대상과제 공고,2024-05-16 ~ 2024-07-17,접수마감
2024,한국에너지공단,2024년도 2차 전력정보화 및 정책지원사업(신재생에너지 분야) 신규지원 대상과제 공고,2024-05-17 ~ 2024-05-31,접수마감
2024,한국에너지기술평가원,2024년도 제2차 신재생에너지R&D 신규지원대상 연구개발과제 공고,2024-05-24 ~ 2024-06-24,접수마감
2024,한국에너지기술평가원,2024년 한-폴란드 에너지국제공동연구사업 신규지원 대상과제 공고,2024-05-27 ~ 2024-08-27,접수마감
2024,한국에너지기술평가원,2024년도 산업기술R&D 연구기획사업(에너지기술분야) 신규지원대상 연구개발과제 공고,2024-06-25 ~ 2024-07-24,접수마감
2024,한국에너지기술평가원,2024년도 2차 에너지인력양성사업 신규지원대상 연구개발과제 공고,2024-06-28 ~ 2024-08-12,접수마감
2024,한국에너지기술평가원,2024년도 전력정보화 및 정책지원(전력기술기반구축) 신규지원 대상 연구개발과제 공고,2024-08-08 ~ 2024-09-09,접수마감
2024,한국에너지기술평가원,2024년 에너지국제공동연구사업 신규지원 대상과제 공고,2024-08-09 ~ 2024-09-23,접수마감
2024,한국에너지기술평가원,2024년도 제2차 현장수요대응 원전 첨단제조기술 및 부품·장비 개발 사업 신규지원대상 연구개발과제 공고,2024-08-28 ~ 2024-09-27,접수마감
2024,한국에너지공단,2024년도 3차 전력정보화 및 정책지원사업(신재생에너지분야) 신규지원 대상과제 공고,2024-09-06 ~ 2024-09-27,접수마감
