연도,전담기관,공고명,공고일,상태
2022,한국산업기술기획평가원,2022년도 자율주행기술개발혁신사업 신규지원 대상과제 재공고,2022-05-18,접수마감
2022,한국산업기술기획평가원,2022년도 소재부품기술개발사업(패키지형) 신규지원 대상 연구개발과제 재공고,2022-05-25,접수마감
2022,한국산업기술기획평가원,2022년도 지식서비스산업기술개발사업 제2차 신규지원 대상 연구개발과제 재공고,2022-05-27,접수마감
2022,한국산업기술기획평가원,2022년도 제2차 국가표준기술력향상사업 신규지원 대상과제 공고,2022-06-03,접수마감
2022,한국산업기술기획평가원,(재공고) 2022년도 제1차 산업기술R&D연구기획사업 신규지원 대상과제 공고,2022-06-08,접수마감
2022,한국산업기술기획평가원,2022년도 우수기업연구소육성사업(ATC+) 신규지원 2차 공고,2022-06-09,접수마감
2022,한국산업기술기획평가원,2022년도 자동차산업기술개발사업(그린카) 신규지원 대상과제 추가 공고,2022-06-14,접수마감
2022,한국산업기술기획평가원,2022년도 융복합신기술제품안전기술지원사업  2차 신규지원 대상 연구개발과제 공고,2022-06-15,접수마감
2022,한국산업기술기획평가원,"2022년도 제2차 전자부품분야(반도체, 디스플레이, 산업융합) 신규지원 대상 연구개발과제 공고",2022-06-24,접수마감
2022,한국산업기술기획평가원,2022년도 백신원부자재생산고도화기술개발사업 신규지원 대상 연구개발과제 재공고,2022-07-05,접수마감
2022,한국산업기술기획평가원,2022년도 소재부품기술개발사업(패키지형) 신규지원 대상과제 공고,2022-07-06,접수마감
2022,한국산업기술기획평가원,2022년도 바이오산업기술개발사업(맞춤형진단치료-파괴적혁신 R&D 설계기획) 신규지원 연구개발과제 공고,2022-07-14,접수마감
2022,한국산업기술기획평가원,2022년도 제조안전기술개발사업 신규지원 대상 연구개발과제 재공고,2022-08-05,접수마감
2022,한국산업기술기획평가원,2022년도 자동차산업기술개발사업(시장자립형 3세대 xEV 산업육성 사업) 신규지원 대상과제 추가 공고,2022-08-25,접수마감
2022,한국산업기술기획평가원,2022년도 규제샌드박스융합신제품인증기술개발사업 2차 신규지원 대상 연구개발과제 공고,2022-08-26,접수마감
2022,한국산업기술기획평가원,2022년도 소재부품기술개발사업(패키지형) 신규지원 대상과제 재공고,2022-09-14,접수마감
2022,한국산업기술기획평가원,2022년도 소재부품기술개발사업(이종기술융합형) 신규지원 대상과제 재공고(수정),2022-09-26,접수마감
2022,한국산업기술기획평가원,22년도 규제샌드박스융합신제품인증기술개발사업 2차 신규지원 대상과제 재공고,2022-09-30,접수마감
2022,한국산업기술기획평가원,2022년도 제2차 산업기술R&D연구기획사업 신규지원 대상과제 공고,2022-10-06,접수마감
2023,한국산업기술기획평가원,2023년도 산업기술혁신사업 통합 시행계획 공고,2023-01-02,접수마감
2023,한국산업기술기획평가원,2023년도 소재부품기술개발사업(이종기술융합형) 신규지원 대상과제 공고,2023-01-04,접수마감
2023,한국산업기술기획평가원,2023년도 우수기업연구소육성사업(ATC+) 신규지원 공고,2023-01-09,접수마감
2023,한국산업기술기획평가원,2023년도 디자인산업기술개발사업 신규지원 대상과제 공고,2023-01-17,접수마감
2023,한국산업기술기획평가원,2023년도 전자부품산업기술개발사업 신규지원 대상 연구개발과제 공고,2023-01-17,접수마감
2023,한국산업기술기획평가원,2023년도 반도체 분야 신규지원 대상과제 공고,2023-01-19,접수마감
2023,한국산업기술기획평가원,2023년도 기계로봇장비 분야 산업기술개발사업 신규지원 대상과제 통합 공고,2023-01-20,접수마감
2023,한국산업기술기획평가원,2023년도 바이오산업기술개발사업 신규지원 대상과제 공고,2023-01-20,접수마감
2023,한국산업기술기획평가원,2023년도 지식서비스산업기술개발사업 신규 지원대상 연구개발과제 공고,2023-01-20,접수마감
2023,한국산업기술기획평가원,2023년도 시험인증산업 경쟁력 및 신뢰성 제고 사업 신규지원 대상과제 공고,2023-01-30,접수마감
2023,한국산업기술기획평가원,2023년도 탄소혁신 스타즈 프로젝트 신규지원 대상과제 공고,2023-01-30,접수마감
2023,한국산업기술기획평가원,2023년도 화재현장 재난대응을 위한  센서 및 로봇 기술개발 신규지원 대상과제 공고,2023-01-31,접수마감
2023,한국산업기술기획평가원,2023년 사회복합재난 대응기술개발 신규과제 공모(수정),2023-02-06,접수마감
2023,한국산업기술기획평가원,2023년도 재난안전 부처협력 기술개발 신규과제 공모(수정),2023-02-06,접수마감
2023,한국산업기술기획평가원,2023년도 재난현장 긴급대응 기술개발 신규지원 대상과제 공고,2023-02-06,접수마감
2023,한국산업기술기획평가원,2023년도 지역맞춤형 재난안전 문제해결 기술개발 지원 신규과제 공모,2023-02-06,접수마감
2023,한국산업기술기획평가원,2023년도 소재부품기술개발사업 신규지원 대상과제 공고,2023-02-08,접수마감
2023,한국산업기술기획평가원,2023년도 조선해양 분야 신규지원 대상과제 통합 공고,2023-02-09,접수마감
2023,한국산업기술기획평가원,2023년도 스마트계량측정기술기반조성사업 신규지원 대상과제 공고,2023-02-10,접수마감
2023,한국산업기술기획평가원,2023년도 융복합신기술제품안전기술지원사업  신규지원 대상 연구개발과제 공고,2023-02-10,접수마감
2023,한국산업기술기획평가원,2023년도 자동차 분야 신규지원 대상과제 통합 공고,2023-02-10,접수마감
2023,한국산업기술기획평가원,2023년도 디자인산업기술개발사업 신규지원 대상과제 재공고,2023-02-17,접수마감
2023,한국산업기술기획평가원,2023년도 나노융합혁신제품기술개발사업  신규지원 대상 연구개발과제 공고(수정),2023-02-20,접수마감
2023,한국산업기술기획평가원,2023년도 나노제품 성능·안전 평가기술개발 및 기업지원사업 신규지원 대상과제 공고,2023-02-20,접수마감
2023,한국산업기술기획평가원,2023년도 산업기술 알키미스트 프로젝트 신규지원 대상 연구개발과제 공고,2023-02-20,접수마감
2023,한국산업기술기획평가원,2023년도 제1차 국가표준기술력향상사업 신규지원 대상과제 공고,2023-02-27,접수마감
2023,한국산업기술기획평가원,2023년도 전자부품산업기술개발사업 신규지원 대상과제 재공고,2023-03-02,접수마감
2023,한국산업기술기획평가원,2023년도 반도체 분야 신규지원 대상과제 재공고,2023-03-10,접수마감
2023,한국산업기술기획평가원,2023년도 스마트계량측정기술기반조성사업 신규지원 대상과제 재공고,2023-03-14,접수마감
2023,한국산업기술기획평가원,2023년도 지역맞춤형 재난안전 문제해결 기술개발 지원 신규과제 재공모,2023-03-16,접수마감
2023,한국산업기술기획평가원,2023년도 글로벌스타팹리스30기술개발지원사업 신규지원 공고,2023-03-28,접수마감
2023,한국산업기술기획평가원,2023년도 규제샌드박스융합신제품인증기술개발사업 신규지원 대상 연구개발과제 공고 ,2023-03-31,접수마감
2023,한국산업기술기획평가원,2023년도 시험인증산업 경쟁력 및 신뢰성 제고사업 신규지원 대상과제 공고,2023-04-06,접수마감
2023,한국산업기술기획평가원,2023년도 지능형스마트랩구축사업 신규지원 대상과제 공고,2023-04-06,접수마감
2023,한국산업기술기획평가원,2023년도 제1차 산업기술R&D연구기획사업 신규지원 대상과제 공고,2023-04-11,접수마감
2023,한국산업기술기획평가원,2023년 파괴적혁신R&D설계기획사업 신규과제 공고,2023-04-20,접수마감
2023,한국산업기술기획평가원,2023년도 바이오산업기술개발사업  신규지원 대상과제 추가 공고(수정),2023-04-28,접수마감
2023,한국산업기술기획평가원,2023년도 시험인증산업 경쟁력 및 신뢰성 제고 사업 (유망시험서비스개발) 신규지원 대상과제 공고,2023-05-02,접수마감
2023,한국산업기술기획평가원,2023년도 전자시스템산업기술개발사업 신규지원 대상과제 공고,2023-05-02,접수마감
2023,한국산업기술기획평가원,2023년도 지식서비스산업기술개발사업(BI연계형) 신규 지원대상 연구개발과제 공고,2023-05-09,접수마감
2023,한국산업기술기획평가원,2023년도 화재현장 재난대응을 위한 센서 및 로봇 기술개발 신규지원 대상과제 2차 공고,2023-05-15,접수마감
2023,한국산업기술기획평가원,2023년도 자동차 분야 신규지원 대상과제 통합 재공고,2023-05-16,접수마감
2023,한국산업기술기획평가원,2023년도 제2차 기계장비산업기술개발사업 신규지원 대상과제 공고,2023-05-19,접수마감
2023,한국산업기술기획평가원,2023년도 전자부품산업기술개발사업 신규지원 대상과제 재공고,2023-05-23,접수마감
2023,한국산업기술기획평가원,2023년도 산업일자리고도화(현장지식자산화 및 노동력증강 기술개발) 신규지원 대상 연구개발과제 공고,2023-05-31,접수마감
2023,한국산업기술기획평가원,2023년도 제2차 국가표준기술력향상사업 신규지원 대상과제 공고,2023-05-31,접수마감
